gene,spearman_rho_RAIR_like,p_value,p_adj
IL1RAP,0.866952693723239,3.09186192039209e-154,8.20147293003206e-150
MEX3C,0.834020979737725,5.23537692492822e-132,6.9436804155323e-128
ARHGAP23,0.820274574041255,3.93812559407561e-124,3.48209065028166e-120
FLII,0.81347557799921,1.76149688408942e-120,1.1681366586839e-116
RCC2,0.812656206909267,4.73927881825403e-120,2.51428219866013e-116
PAPSS1,0.808979655729548,3.79006107142861e-118,1.67558599967859e-114
FLNA,0.80356886620339,2.01940960885365e-115,7.65240846920742e-112
SERPINB8,0.803225201477257,2.98896991824996e-115,9.91067700643731e-112
TMEM43,0.800541824368772,6.21902437523641e-114,1.83295378419468e-110
PON2,0.799825106734276,1.38803332125832e-113,3.68189718796981e-110
LASP1,0.79703343005108,3.06979577426096e-112,7.40267297345875e-109
AL031985.3,0.794993197960942,2.86149948932748e-111,6.32534462115839e-108
ACTN1,0.794137767814048,7.24114706960534e-111,1.47752820898732e-107
TNFRSF10A,0.793431784019204,1.552883211724e-110,2.94227000529935e-107
DCUN1D3,0.790064907111829,5.67083496520932e-109,1.00283045524762e-105
DPY19L1,0.787981580486812,5.08351282621805e-108,8.42782882676625e-105
SEPTIN11,0.786953074189406,1.48748260632443e-107,2.32099785972717e-104
GPR161,0.78533181234269,7.98440471927501e-107,1.17663510879716e-103
ANXA1,0.784654583470769,1.60402929865606e-106,2.2393937461132e-103
CD276,0.783751418620123,4.05092830253467e-106,5.37274620765174e-103
CLDN1,0.781158581696679,5.64844172761752e-105,6.73304701456274e-102
CSGALNACT2,0.78115830216562,5.65003555902563e-105,6.73304701456274e-102
SPATS2L,0.781125866365793,5.83804875725488e-105,6.73304701456274e-102
B4GALT5,0.778970756834319,5.07490365308089e-104,5.60903726256765e-101
TNFRSF10A-AS1,0.778331534007355,9.59299252339516e-104,1.01785487870232e-100
ARF6,0.77660325038715,5.30888628393114e-103,5.41628913721375e-100
SDC3,0.775553145376649,1.4901549074149e-102,1.4210222872584e-99
AHR,0.77554643663124,1.49998582685799e-102,1.4210222872584e-99
DOCK9,0.775284795560301,1.93813354189705e-102,1.77279070111591e-99
KANK2,0.775055580092171,2.42528887804563e-102,2.14444042596795e-99
MAP4,0.773789770281376,8.32647269054514e-102,7.12477466417421e-99
ENDOD1,0.773684014364169,9.22698336074001e-102,7.64859251959343e-99
PTPRE,0.773294645612729,1.34602475454211e-101,1.08195917087831e-98
ZFP69B,0.772170418256975,3.98766777316775e-101,3.11108456914846e-98
NRIP1,0.772065250003261,4.41268903660054e-101,3.34431398242474e-98
RUNX1,0.771901444802865,5.16611728530542e-101,3.80656741972254e-98
