gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL1RAP,2.91900586142978,2.99805047880177,33.4287833863449,1.27145790115095e-95,3.37266922859301e-91,207.369758856998
PTPRE,2.86926905043515,3.71834765439347,26.875372814721,1.15685659905784e-76,1.53433890733042e-72,164.132926495486
ARHGAP23,1.97671620560815,4.35116409118134,26.1639941619858,1.82450979872208e-74,1.61323156403006e-70,159.11120464359
AL031985.3,1.48711493063777,2.38365731606035,25.6284963495665,8.58474234372382e-73,5.69297188524045e-69,155.288602305779
KCNQ3,2.72657438340343,2.57714557783513,25.5531261393878,1.48041134646276e-72,7.85387827525426e-69,154.74766743653
AHR,2.01884658849686,4.99203458648512,25.4887447609075,2.3592598145758e-72,1.04302876402396e-68,154.285032792387
SYTL5,3.73477241443958,3.02235864237838,24.3867943602301,7.43452022763259e-69,2.81725833654546e-65,146.286235105684
RUNX1,2.31387502345956,3.15445056913805,24.1819332078945,3.37848519233504e-68,1.12022122764849e-64,144.782636325655
CREB5,2.12013035848938,1.96801433269771,23.9298398645473,2.19167737330518e-67,6.45960377825481e-64,142.925350017488
ITGB8,2.52805506450972,2.48850935918869,23.7238331163785,1.0158181259853e-66,2.6945591609886e-63,141.401894678127
PDE5A,3.18064876142844,5.46970201211343,23.6091394742561,2.3909819116728e-66,5.76574419900297e-63,140.551505478965
SLC35F2,1.80430674053138,4.8762629372649,23.443656066343,8.24416855574845e-66,1.8223734592482e-62,139.321770600437
ZFP69B,1.2392744212626,1.79735952330823,23.4044670566887,1.10574684574071e-65,2.25623391000909e-62,139.03007377825
IL17RD,1.95598400727161,2.18293647530912,23.3689276133935,1.44330223747978e-65,2.73464536795633e-62,138.765384580694
GABRB2,3.54513507189523,3.17363713036976,23.2781247943509,2.85274703464258e-65,5.04479785606194e-62,138.088429225556
MICAL2,1.98035328178176,3.03430294158285,23.1832126190668,5.82109567132006e-65,9.65064898608975e-62,137.379799664498
