"outcome","predictor","n","events","OR_per_SD","CI_low","CI_high","p_value"
"N_positive","TDS",455,225,0.571183463694684,0.46526107551751,0.701220382202333,8.71997203282998e-08
"N_positive","OneCarbon",455,225,0.999000469608075,0.831118798285106,1.20079336472281,0.991500046544751
"N_positive","MAPK",455,225,1.53482590482717,1.25023140904511,1.88420362909274,4.23545587883396e-05
"N_positive","Dediff_EMT",455,225,1.87692074444034,1.4919480626089,2.36122930093846,7.61640617518627e-08
"N_positive","IodineHandling",455,225,0.540601189327629,0.439386197049974,0.665131603734034,6.05389337417617e-09
"N_positive","ImmuneCheckpoint",455,225,1.37587037518899,1.13787960664133,1.66363759247809,0.000991401318411122
"N_positive","CAF",455,225,1.59851489951206,1.31146331888318,1.9483959994688,3.40255449372103e-06
"N_positive","RAIR_like",455,225,1.88282527901574,1.50915371775392,2.34901918180794,2.06898657068391e-08
"T_high","TDS",503,194,0.614812523147034,0.506665208152176,0.74604380276471,8.30850478267771e-07
"T_high","OneCarbon",503,194,0.846672213275055,0.704970874905835,1.01685596135845,0.0748974682608485
"T_high","MAPK",503,194,1.04587003415863,0.872757290441701,1.2533199554224,0.627114312292905
"T_high","Dediff_EMT",503,194,1.22391182563524,1.01213243387732,1.48000410498785,0.0371266186010387
"T_high","IodineHandling",503,194,0.581434949282749,0.477667731189144,0.707744271118803,6.43181568440474e-08
"T_high","ImmuneCheckpoint",503,194,1.04947747956828,0.877254959184193,1.25551069115101,0.597470832876586
"T_high","CAF",503,194,1.35385498836239,1.12568982072626,1.62826677097531,0.00129408240362877
"T_high","RAIR_like",503,194,1.23690094162511,1.02513484296333,1.49241238837475,0.0264825890201162
"stage_high","TDS",503,167,0.673987152095627,0.5552698729076,0.81808630965571,6.57822344833535e-05
"stage_high","OneCarbon",503,167,0.80691441255024,0.666539012936639,0.976853352233102,0.0277978174564024
"stage_high","MAPK",503,167,1.06272452789457,0.880388844265947,1.28282341325032,0.526427721201182
"stage_high","Dediff_EMT",503,167,1.18965256612175,0.97747422884221,1.44788802233325,0.0831578347145138
"stage_high","IodineHandling",503,167,0.650321967890847,0.53459569723812,0.791100010917309,1.67934109144959e-05
"stage_high","ImmuneCheckpoint",503,167,1.0592685170096,0.880500795343589,1.27433137716799,0.54151169025645
"stage_high","CAF",503,167,1.40479600237757,1.16018181487176,1.70098495166822,0.000497526743170688
"stage_high","RAIR_like",503,167,1.17016098396723,0.965217854135914,1.41861935368462,0.10968743929025
