"gene","median_high","median_low","delta_high_low","p_wilcox","rho_RAIR_like","p_rho_RAIR_like","rho_TDS","p_rho_TDS","priority_score"
"DUSP5",8.14999449001592,6.28351678881563,1.86647770120029,3.50041828804243e-39,0.717832497535468,0,-0.406837236518683,0,8
"FN1",11.7860127625855,8.14425820951834,3.64175455306713,1.98177716866395e-36,0.677224275222553,0,-0.571083443748101,0,8
"MET",8.34916974604327,6.74234095925174,1.60682878679153,1.95730490546785e-49,0.754078730854452,0,-0.330213580364248,3.51233416255659e-14,10
"KRT19",9.12031694471479,7.54431034017985,1.57600660453494,3.16404683589145e-30,0.617321421583152,0,-0.567283405359169,0,18
"DUSP6",8.92183677258795,7.7288261088067,1.19301066378125,5.60862492285399e-47,0.764330532432125,0,-0.14450181042949,0.00114041198952414,21
"SLC1A5",5.35857560301063,4.11836977380299,1.24020582920764,6.04662475380714e-29,0.601626684407571,0,-0.391580990397176,0,23
"AXL",5.32840206837411,4.47710348834609,0.851298580028021,5.30141766305454e-41,0.689952691463697,1.30545340959196e-72,-0.117970355683946,0.00796011503429397,29
"HMGA2",3.95628902658394,2.57504442775728,1.38124459882666,3.39288158140191e-29,0.587223440990608,3.92031825122895e-48,-0.205030119588747,3.39248804246228e-06,30
"DUSP4",4.86596334148979,3.96368217628832,0.902281165201472,2.2882790257418e-38,0.677040250608912,0,-0.109429887088088,0.013912010661282,31
"LAMC2",7.02660643313602,6.22725628887997,0.799350144256057,6.01645287755255e-31,0.62122311610043,0,-0.220717444415249,5.83555061814943e-07,32
"CCND1",8.46759780678375,7.6356164511419,0.831981355641848,1.28431489510845e-36,0.660560031158395,0,0.113497436700192,0.0107293235930508,41
"FOSL1",3.4721368029549,2.60715380319841,0.864982999756487,2.38801514179894e-19,0.524765520030264,0,-0.199940553061517,6.23104418312164e-06,42
"MTHFD2",2.39969064396858,1.71507377061052,0.684616873358052,5.69297812724137e-26,0.595859534421889,7.41802686640954e-50,-0.182508776052908,3.6926402480537e-05,43
"MTHFD1L",4.79072512866236,4.16602816600919,0.624696962653168,3.55374224438795e-37,0.689293401389828,0,-0.00974752754778583,0.826971937240456,43
"SLC7A5",3.3885339790918,2.7021477345027,0.686386244589102,9.53600132458215e-17,0.475810278445786,6.81007888407818e-30,-0.258250225447628,3.87923850144749e-09,47
"ETV4",5.85007679473739,5.02401819944836,0.826058595289026,2.153869995853e-31,0.584160558913034,0,0.00767499110159463,0.863351767865817,47
"ITGB1",6.00774941507202,5.25676909822635,0.750980316845672,4.44958809021567e-34,0.638960386721902,0,0.221985583651533,5.01201878954849e-07,49
"PIK3CA",2.91582680762387,2.27221726251131,0.643609545112561,1.20702672586246e-36,0.653726816479633,6.94832584791884e-63,0.191652415047073,1.44807862352911e-05,51
"ALK",1.38427089254241,0.773700783699484,0.610570108842931,5.41313311555002e-24,0.525041456209841,4.00645263850544e-37,-0.0340175843234116,0.445596668632737,60
"ETV5",6.02273398914152,5.37308263088036,0.649651358261168,2.45760580436491e-25,0.53978174214937,0,0.32089513299156,1.97461109606672e-13,65
"RET",1.00676478187842,0.390387254545446,0.616377527332977,2.18513002611068e-14,0.396598870512649,1.80328756644278e-20,-0.127210366001025,0.00419314157021475,67
"SPRY1",6.82192701111825,6.06264044239266,0.759286568725597,2.48374890036239e-16,0.425609144765408,0,0.293813511785961,2.04068625293619e-11,70
"SPRY2",4.86464674284184,4.3286054245166,0.536041318325243,1.48773669885394e-19,0.530992540247814,0,0.350647487108959,5.45368842996314e-16,74
"TYMS",2.34721208558565,1.92774018995289,0.419471895632758,1.12994959393858e-14,0.427129254561913,8.22956749855844e-24,0.050228286037996,0.259888591434788,75
"TP53",5.1681686538143,4.80331814516938,0.364850508644923,6.78147392410159e-26,0.537535151030631,0,0.282197319110793,1.28622168624102e-10,75
