gene,quartile,median_log2_tpm,z_median
MTHFD2,Q1,1.46607890923306,-1.31408258505318
MTHFD2,Q2,2.01025586551476,-0.130486301368729
MTHFD2,Q3,2.25236990541649,0.396116809159116
MTHFD2,Q4,2.55229127688854,1.04845207726279
MTHFD1L,Q1,3.94180119196526,-1.16522893032408
MTHFD1L,Q2,4.34361007390194,-0.300981806091484
MTHFD1L,Q3,4.59738541665313,0.24486130498347
MTHFD1L,Q4,5.05137778910234,1.22134943143209
SLC1A5,Q1,3.41723143177182,-1.41857947493505
SLC1A5,Q2,4.8245788971094,0.0746563344867438
SLC1A5,Q3,5.20022074078761,0.473223046910525
SLC1A5,Q4,5.57483559436345,0.870700093537785
SLC7A5,Q1,2.34300978255439,-1.21249203363644
SLC7A5,Q2,2.92602598628525,-0.192474427861274
SLC7A5,Q3,3.15010641199077,0.199566098399539
SLC7A5,Q4,3.72501577754174,1.20540036309818
SHMT2,Q1,4.94234559456875,-1.17968482641283
SHMT2,Q2,5.09197245645524,-0.431156864544665
SHMT2,Q3,5.28917583655649,0.555378857180831
SHMT2,Q4,5.38914003283181,1.05546283377666
AXL,Q1,4.0624930475363,-1.27611667625145
AXL,Q2,4.71850187658848,-0.242467255631157
AXL,Q3,5.17493999093083,0.476725797182865
AXL,Q4,5.53360299174933,1.04185813469974
FN1,Q1,6.08959348556043,-1.47228193890615
FN1,Q2,10.7208098071277,0.242832093796302
FN1,Q3,11.4713805542363,0.520796743149206
FN1,Q4,11.978637458704,0.70865310196064
FOSL1,Q1,1.88424623952767,-1.31263795551187
FOSL1,Q2,2.9973352462913,0.0213881998721622
FOSL1,Q3,3.12555704856571,0.175060760543552
FOSL1,Q4,3.91081863253653,1.11618899509616
ITGB1,Q1,5.20473936735437,-0.964790654563802
ITGB1,Q2,5.37133002349159,-0.613808704401924
ITGB1,Q3,5.81305627819587,0.316843385629517
ITGB1,Q4,6.26155115921688,1.26175597333621
LAMC2,Q1,5.88267483720745,-1.36449532525639
LAMC2,Q2,6.59784662666404,-0.0822717430070964
LAMC2,Q3,6.9323474223783,0.517451029715619
LAMC2,Q4,7.16206885275817,0.929316038547862
KRT19,Q1,5.57980769018886,-1.47545240993102
KRT19,Q2,8.536199425741,0.26503427954217
KRT19,Q3,8.94314015438227,0.504608390471813
KRT19,Q4,9.28490088733096,0.705809739917037
DUSP5,Q1,5.25585192243939,-1.39934126695396
DUSP5,Q2,7.48373984949919,0.132748224436249
DUSP5,Q3,7.72703648359521,0.300060148820637
DUSP5,Q4,8.69618782257953,0.966532893697075
DUSP6,Q1,6.64214847122655,-1.40699597876472
DUSP6,Q2,8.29539133444858,0.0710320644814962
DUSP6,Q3,8.68581062072061,0.420073736803981
DUSP6,Q4,9.24040428743765,0.915890177479241
MET,Q1,5.73607174808371,-1.42666434295175
MET,Q2,7.60399033297989,0.0802115342470114
MET,Q3,8.13973535203959,0.512404485309349
MET,Q4,8.53844403931059,0.834048323395389
