gene,evidence_tier,biological_axis,actionability_note,median_high,median_low,delta_high_low,p_wilcox,rho_RAIR_like,p_rho_RAIR_like,rho_TDS,p_rho_TDS,priority_score,n_external_up_validations,best_external_padj,GSE33630_delta,GSE33630_padj,GSE76039_delta,GSE76039_padj
AXL,Tier 1A_core_actionable_axis,RTK/EMT survival,clinically druggable kinase class; use as actionable ecology-linked node,5.32840206837411,4.47710348834609,0.851298580028021,5.30141766305454e-41,0.689952691463697,1.30545340959196e-72,-0.117970355683946,0.00796011503429397,29,2,1.26600020201606e-05,0.898137455000001,0.000210492353735944,1.949448566,1.26600020201606e-05
SLC1A5,Tier 1A_core_actionable_axis,amino-acid uptake,transporter vulnerability; robust across TCGA and GEO,5.35857560301063,4.11836977380299,1.24020582920764,6.04662475380714e-29,0.601626684407571,0,-0.391580990397176,0,23,2,2.63413968468718e-07,1.3330693,2.63413968468718e-07,2.183772462,1.26600020201606e-05
MTHFD2,Tier 1A_core_actionable_axis,mitochondrial one-carbon,enzyme vulnerability; strongest one-carbon gene across TCGA and GEO,2.39969064396858,1.71507377061052,0.684616873358052,5.69297812724137e-26,0.595859534421889,7.41802686640954e-50,-0.182508776052908,3.6926402480537e-05,43,2,7.15114999696792e-08,2.663736205,7.15114999696792e-08,3.050081338,1.26600020201606e-05
SLC7A5,Tier 1A_core_actionable_axis,amino-acid uptake,transporter vulnerability; robust across TCGA and GEO,3.3885339790918,2.7021477345027,0.686386244589102,9.53600132458215e-17,0.475810278445786,6.81007888407818e-30,-0.258250225447628,3.87923850144749e-09,47,2,2.18806873544021e-05,1.936600894,0.000170374340974891,3.9867323375,2.18806873544021e-05
FN1,Tier 1B_ecology_state_axis,ECM/CAF-epithelial interface,robust ECM/state anchor; better as ecology marker than direct tumor-cell target,11.7860127625855,8.14425820951834,3.64175455306713,1.98177716866395e-36,0.677224275222553,0,-0.571083443748101,0,8,2,0.000114524498541232,3.158745802,0.000114524498541232,5.54601605,0.000160026750361532
ITGB1,Tier 1B_ecology_state_axis,ECM adhesion,adhesion/ECM interface; ecology marker and combination-rationale node,6.00774941507202,5.25676909822635,0.750980316845672,4.44958809021567e-34,0.638960386721902,0,0.221985583651533,5.01201878954849e-07,49,2,2.18806873544021e-05,0.772525696000001,4.09452461907226e-05,1.472135777,2.18806873544021e-05
FOSL1,Tier 1B_ecology_state_axis,AP-1/MAPK transcription,transcriptional MAPK/AP-1 readout; marker or upstream-pathway rationale,3.4721368029549,2.60715380319841,0.864982999756487,2.38801514179894e-19,0.524765520030264,0,-0.199940553061517,6.23104418312164e-06,42,2,0.000660101392732114,2.405151759,0.000660101392732114,3.05300282,0.000893703175925857
DUSP5,Tier 2_supportive_marker_axis,MAPK feedback,MAPK feedback readout; validated in PTC-to-ATC but not PDTC-to-ATC,8.14999449001592,6.28351678881563,1.86647770120029,3.50041828804243e-39,0.717832497535468,0,-0.406837236518683,0,8,1,0.0416512103604041,-0.473953512,0.692298821724417,1.1277613905,0.0416512103604041
MTHFD1L,Tier 2_supportive_marker_axis,mitochondrial one-carbon,one-carbon support gene; validated mainly in PDTC-to-ATC contrast,4.79072512866236,4.16602816600919,0.624696962653168,3.55374224438795e-37,0.689293401389828,0,-0.00974752754778583,0.826971937240456,43,1,0.000892063413222189,0.0290206189999989,0.31489198426914,1.259637324,0.000892063413222189
LAMC2,Tier 2_supportive_marker_axis,basement membrane/EMT,EMT/basement-membrane marker; one external validation,7.02660643313602,6.22725628887997,0.799350144256057,6.01645287755255e-31,0.62122311610043,0,-0.220717444415249,5.83555061814943e-07,32,1,0.0037493126306784,0.389437657,0.560257603143339,4.279873967,0.0037493126306784
