dataset,sample,disease_group,tissue_group,n_epithelial,median_RAIR_like,median_cnv_proxy_amp,median_cnv_proxy_z,fraction_cnv_proxy_high,fraction_RAIR_top_quartile_cnv_high,ref_cells_used
GSE184362,PTC1_T,PTC_related,Primary_tumor,35,0.894165786945444,0.0474752210703825,0.953815605556022,0.142857142857143,0.333333333333333,2000
GSE184362,PTC1_P,Paratumor,Paratumor,10,-2.92498892628011,0.0585594754795176,6.63360382328803,1,1,2000
GSE184362,PTC2_P,Paratumor,Paratumor,2,0.00911127191695504,0.0607588086042092,6.46092113763234,1,1,2000
GSE184362,PTC2_LeftLN,PTC_related,Lymph_node_metastasis,2,2.48244768294521,0.0589819514443292,6.03991414556454,0.5,1,2000
GSE184362,PTC3_T,PTC_related,Primary_tumor,217,-2.17079476062145,0.0580706645763019,5.94322673859549,0.866359447004608,0.836363636363636,2000
GSE184362,PTC3_P,Paratumor,Paratumor,55,-3.13233255642139,0.0610823940404896,8.26935507964987,0.963636363636364,0.928571428571429,2000
GSE184362,PTC3_LeftLN,PTC_related,Lymph_node_metastasis,38,-0.928118626893123,0.059601620791823,7.59167997359975,0.921052631578947,0.9,2000
GSE184362,PTC3_RightLN,PTC_related,Lymph_node_metastasis,64,-0.325537042538558,0.0645874550669735,9.33941329228642,0.828125,1,2000
GSE184362,PTC4_SC,PTC_related,Subcutaneous_metastasis,269,1.23355315468844,0.046856241806598,2.03730192209222,0.267657992565056,0.323529411764706,2000
GSE184362,PTC5_T,PTC_related,Primary_tumor,1600,0.857243711803755,0.049992389604937,0.37942572379346,0.0275,0.07,1298
GSE184362,PTC5_P,Paratumor,Paratumor,1615,-2.50512257561612,0.0504931023471868,1.15010524634883,0.086687306501548,0.193069306930693,1110
GSE184362,PTC5_RightLN,PTC_related,Lymph_node_metastasis,5435,1.29016953445379,0.0457068452707371,-0.337669098092612,0.0143514259429623,0.0434142752023547,581
GSE184362,PTC6_RightLN,PTC_related,Lymph_node_metastasis,2766,2.48348418473773,0.0480299579252588,-0.00020404179397545,0.0686912509038323,0.167630057803468,1281
GSE184362,PTC7_RightLN,PTC_related,Lymph_node_metastasis,1992,-0.887589716406693,0.0656166565740679,4.14953533341525,0.781124497991968,0.883534136546185,2000
GSE184362,PTC8_T,PTC_related,Primary_tumor,5357,0.58045555029535,0.0567223941015838,1.16133412299336,0.0462945678551428,0.0223880597014925,2000
GSE184362,PTC8_P,Paratumor,Paratumor,4923,-3.96339248744263,0.0609297701256077,2.23852414677447,0.230753605525086,0.27944760357433,2000
GSE184362,PTC9_T,PTC_related,Primary_tumor,4470,1.17233242461464,0.0521956628794441,0.889164168982024,0.0465324384787472,0.0402504472271914,2000
GSE184362,PTC9_P,Paratumor,Paratumor,386,-3.72403224749865,0.0634547814710059,3.90766240383723,0.730569948186529,0.793814432989691,2000
GSE184362,PTC10_T,PTC_related,Primary_tumor,8849,1.63980317587595,0.0524762935165105,0.236920325593358,0.0857724036614307,0.161771351107094,2000
GSE184362,PTC10_RightLN,PTC_related,Lymph_node_metastasis,6050,1.93150883070075,0.0570292762493196,1.7415086606055,0.15801652892562,0.138797091870456,2000
GSE184362,PTC11_RightLN,PTC_related,Lymph_node_metastasis,1546,2.22079022004297,0.0513684350631691,1.03511258789585,0.137128072445019,0.188630490956072,2000
GSE184362,PTC11_SC,PTC_related,Subcutaneous_metastasis,5214,2.85992745369507,0.0530939026100691,1.15229755972463,0.0828538550057537,0.13420245398773,1731
GSE232237,PT10,PTC,PTC,309,3.17096022057368,0.0466893879248555,2.53955384095405,0.359223300970874,0.397435897435897,2000
GSE232237,PT12,PTC,PTC,163,2.88699855456735,0.0575742109419376,4.13519634026722,0.858895705521472,1,2000
GSE232237,PT3,PTC,PTC,3354,1.24857598565574,0.0393466864879434,0.399331211454617,0.00298151460942159,0.00357568533969011,2000
GSE232237,PT5,PTC,PTC,520,2.68853972247177,0.0514581377798612,3.08208265741883,0.525,0.653846153846154,2000
GSE232237,PT7,PTC,PTC,3189,0.981393735259325,0.0456965009232301,1.27909511915864,0.0545625587958608,0.0363408521303258,2000
GSE232237,PT8,PTC,PTC,2899,0.852241064929476,0.0465318131286635,1.45824928035545,0.0693342531907554,0.142068965517241,2000
GSE232237,PT9,PTC,PTC,661,5.24351629881575,0.0438238019358108,0.622334499117843,0.0166414523449319,0.0180722891566265,2000
GSE232237,AT9,ATC,ATC,1068,1.99144537503265,0.033463944453654,-0.0344289762552135,0.00187265917602996,0,1327
GSE232237,AT13,ATC,ATC,93,1.88977160344796,0.0447278884787597,2.18188492143615,0.279569892473118,0.208333333333333,2000
GSE232237,AT16,ATC,ATC,46,6.06961819491124,0.043618667552587,2.8484865689654,0.456521739130435,0.5,2000
GSE232237,AT17,ATC,ATC,488,2.14216638206209,0.0439694748548048,1.61216254558298,0.151639344262295,0.311475409836066,2000
GSE232237,AT20,ATC,ATC,1875,0.742202686321298,0.036612190287597,0.32500028555218,0.00373333333333333,0.00426439232409382,2000
