dataset,sample,tissue_group,n_top_cells,fraction_dataset_top10
GSE184362,PTC10_T,Primary_tumor,4503,0.227470195999192
GSE184362,PTC11_SC,Subcutaneous_metastasis,3020,0.152556071933724
GSE184362,PTC10_RightLN,Lymph_node_metastasis,2333,0.117852091331582
GSE184362,PTC6_RightLN,Lymph_node_metastasis,1767,0.0892604566579107
GSE184362,PTC8_T,Primary_tumor,1409,0.0711759951505355
GSE184362,PTC9_T,Primary_tumor,1289,0.0651141644776722
GSE184362,PTC11_RightLN,Lymph_node_metastasis,1031,0.0520812285310164
GSE184362,PTC5_RightLN,Lymph_node_metastasis,914,0.0461709436249748
GSE184362,PTC5_T,Primary_tumor,538,0.02717720751667
GSE184362,PTC1_T,Primary_tumor,496,0.0250555667811679
GSE184362,PTC3_T,Primary_tumor,473,0.0238937159022025
GSE184362,PTC7_RightLN,Lymph_node_metastasis,468,0.0236411396241665
GSE184362,PTC2_P,Paratumor,331,0.016720549605981
GSE184362,PTC8_P,Paratumor,321,0.0162153970499091
GSE184362,PTC4_SC,Subcutaneous_metastasis,184,0.00929480703172358
GSE184362,PTC9_P,Paratumor,115,0.00580925439482724
GSE184362,PTC5_P,Paratumor,114,0.00575873913922004
GSE184362,PTC2_LeftLN,Lymph_node_metastasis,114,0.00575873913922004
GSE184362,PTC3_LeftLN,Lymph_node_metastasis,102,0.00515255607193372
GSE184362,PTC3_RightLN,Lymph_node_metastasis,96,0.00484946453829057
GSE184362,PTC3_P,Paratumor,66,0.00333400687007477
GSE184362,PTC1_P,Paratumor,58,0.00292988482521722
GSE184362,PTC2_T,Primary_tumor,54,0.00272782380278844
GSE232237,PT7,PTC,1169,0.137837519160476
GSE232237,PT5,PTC,1071,0.126282278033251
GSE232237,PT9,PTC,932,0.10989270133239
GSE232237,PT3,PTC,896,0.105647918877491
GSE232237,PT8,PTC,830,0.0978658177101757
GSE232237,AT16,ATC,802,0.0945643202452541
GSE232237,PT10,PTC,602,0.0709821954958142
GSE232237,AT13,ATC,552,0.0650866643084543
GSE232237,AT20,ATC,531,0.062610541209763
GSE232237,AT9,ATC,518,0.0610777031010495
GSE232237,AT17,ATC,361,0.0425657351727391
GSE232237,PT12,PTC,217,0.0255866053531423
