dataset,cell_type,n_cells,fraction_of_top10
GSE232237,B_Plasma,248,0.0292418346893055
GSE232237,CAF,983,0.115906143143497
GSE232237,Endothelial,609,0.0718075698620446
GSE232237,Epithelial_Thyroid,4123,0.486145501709704
GSE232237,Myeloid,2248,0.265063082183705
GSE232237,Other,1,0.0001179106237472
GSE232237,T_NK,269,0.0317179577879967
GSE184362,B_Plasma,509,0.0257122651040614
GSE184362,CAF,1358,0.0685997171145686
GSE184362,Endothelial,947,0.0478379470600121
GSE184362,Epithelial_Thyroid,12198,0.616185087896545
GSE184362,Myeloid,1673,0.0845120226308345
GSE184362,Other,47,0.00237421701353809
GSE184362,T_NK,3064,0.15477874318044
