dataset,sample,disease_group,tissue_group,total_cells,B_Plasma,CAF,Endothelial,Epithelial_Thyroid,Myeloid,Other,T_NK,epithelial_RAIR,epithelial_n,log_total_cells,tumor_met_group,non_epithelial_fraction
GSE184362,PTC10_RightLN,PTC_related,Lymph_node_metastasis,9130,0.0338444687842278,0.00755750273822563,0.0131434830230011,0.662650602409639,0.102519167579409,0.00328587075575027,0.176998904709748,1.93150883070075,6050,3.96051834278071,Tumor_met,0.334063526834612
GSE184362,PTC10_T,PTC_related,Primary_tumor,22424,0.0884766321798074,0.0444166963967178,0.0193988583660364,0.394621833749554,0.181546557260079,0.0075365679628969,0.264002854084909,1.63980317587595,8849,4.35073245171613,Tumor_met,0.59784159828755
GSE184362,PTC11_RightLN,PTC_related,Lymph_node_metastasis,7170,0.204881450488145,0.0107391910739191,0.00306834030683403,0.215620641562064,0.151464435146444,0.0108786610878661,0.403347280334728,2.22079022004297,1546,3.85557972250172,Tumor_met,0.77350069735007
GSE184362,PTC11_SC,PTC_related,Subcutaneous_metastasis,7127,0.0200645432860951,0.0171180019643609,0.00827837799915813,0.731584116739161,0.0593517609092185,0.00841868949066929,0.155184509611337,2.85992745369507,5214,3.85296769102882,Tumor_met,0.25999719377017
GSE184362,PTC3_P,Paratumor,Paratumor,9695,0.205363589479113,0.00247550283651367,0.00165033522434244,0.00567302733367715,0.00278494069107788,0.00794223826714802,0.774110366168128,-3.13233255642139,55,3.98659260682221,Paratumor,0.986384734399175
GSE184362,PTC3_RightLN,PTC_related,Lymph_node_metastasis,11670,0.179348757497858,0.0012853470437018,0.00179948586118252,0.00548414738646101,0.0240788346186804,0.013796058269066,0.774207369323051,-0.325537042538557,64,4.06710806905957,Tumor_met,0.980719794344474
GSE184362,PTC3_T,PTC_related,Primary_tumor,7436,0.0689887036040882,0.0239376008606778,0.0150618612157074,0.029182356105433,0.0433028509951587,0.00470683162990855,0.814819795589026,-2.17079476062145,217,3.87139778148748,Tumor_met,0.966110812264658
GSE184362,PTC4_SC,PTC_related,Subcutaneous_metastasis,3120,0.0243589743589744,0.00192307692307692,0.00256410256410256,0.0862179487179487,0.198397435897436,0.0166666666666667,0.669871794871795,1.23355315468844,269,3.49429376866533,Tumor_met,0.897115384615385
GSE184362,PTC5_P,Paratumor,Paratumor,2757,0.010518679724338,0.00906782734856728,0.0500544069640914,0.585781646717447,0.200943054044251,0.00253899165759884,0.141095393543707,-2.50512257561612,1615,3.44059426183983,Paratumor,0.411679361624955
GSE184362,PTC5_RightLN,PTC_related,Lymph_node_metastasis,6257,0.00799105002397315,0.032443663097331,0.045229343135688,0.868627137605881,0.0236535080709605,0.00607319801821959,0.0159821000479463,1.29016953445379,5435,3.79643555881017,Tumor_met,0.125299664375899
GSE184362,PTC5_T,PTC_related,Primary_tumor,4477,0.00134018315836498,0.346884074156801,0.144963144963145,0.357382175563994,0.0964931874022783,0.0058074603529149,0.0471297744025017,0.857243711803755,1600,3.65108408924301,Tumor_met,0.636810364083091
GSE184362,PTC6_RightLN,PTC_related,Lymph_node_metastasis,6546,0.0119156736938588,0.375954781545982,0.16162542010388,0.422548120989918,0.00763825236785823,0.00580507179957226,0.0145126794989306,2.48348418473772,2766,3.816042340922,Tumor_met,0.57164680721051
GSE184362,PTC7_RightLN,PTC_related,Lymph_node_metastasis,8832,0.0970335144927536,0.105072463768116,0.0364583333333333,0.22554347826087,0.051856884057971,0.00566123188405797,0.478374094202899,-0.887589716406692,1992,3.94610823043691,Tumor_met,0.768795289855073
GSE184362,PTC8_P,Paratumor,Paratumor,14454,0.0988653659886537,0.00947834509478345,0.107167566071676,0.340597758405978,0.0206863152068632,0.00269821502698215,0.420506434205064,-3.96339248744263,4923,4.16001809600668,Paratumor,0.65670402656704
GSE184362,PTC8_T,PTC_related,Primary_tumor,10550,0.0102369668246445,0.00597156398104265,0.0225592417061611,0.507772511848341,0.267298578199052,0.00483412322274882,0.181327014218009,0.58045555029535,5357,4.02329362303661,Tumor_met,0.487393364928909
GSE184362,PTC9_P,Paratumor,Paratumor,7168,0.205775669642857,0.000279017857142857,0.0107421875,0.0538504464285714,0.0478515625,0.00265066964285714,0.678850446428571,-3.72403224749865,386,3.85545858038604,Paratumor,0.943498883928571
GSE184362,PTC9_T,PTC_related,Primary_tumor,10109,0.0132555148877238,0.0683549312493818,0.0418439014739341,0.442180235433772,0.173904441586705,0.00375902660995153,0.256701948758532,1.17233242461463,4470,4.004751155591,Tumor_met,0.554060737956277
GSE232237,AT13,ATC,ATC,7143,0.0592188156236875,0.0452190956180876,0.0305193896122078,0.0130197396052079,0.303093938121238,0.00965980680386392,0.539269214615708,1.88977160344796,93,3.85394144588049,Tumor_met,0.977320453590929
GSE232237,AT17,ATC,ATC,9923,0.167892774362592,0.0160233800262018,0.00755819812556686,0.0491786758036884,0.223319560616749,0.0302327925022675,0.505794618562935,2.14216638206209,488,3.99668675560017,Tumor_met,0.920588531694045
GSE232237,AT20,ATC,ATC,6395,0.00609851446442533,0.153088350273651,0.0630179827990618,0.293197810789679,0.271149335418296,0.00453479280688038,0.208913213448006,0.742202686321298,1875,3.8059084550742,Tumor_met,0.70226739640344
GSE232237,AT9,ATC,ATC,3197,0.0025023459493275,0.248357835470754,0.190803878636221,0.334063184235221,0.133249921801689,0.0025023459493275,0.0885204879574601,1.99144537503265,1068,3.50487845941022,Tumor_met,0.663434469815452
GSE232237,PT10,PTC,PTC,4709,0.0252707581227437,0.0479932045020174,0.103418984922489,0.0656190273943513,0.113399872584413,0.0197494160118921,0.624548736462094,3.17096022057368,309,3.6730209071289,Tumor_met,0.914631556593757
GSE232237,PT12,PTC,PTC,4118,0.258863525983487,0.0116561437591064,0.0271976687712482,0.0395823215152987,0.0524526469159786,0.0201554152501214,0.59009227780476,2.88699855456735,163,3.61479179195642,Tumor_met,0.94026226323458
GSE232237,PT3,PTC,PTC,8540,0.013231850117096,0.117447306791569,0.117564402810304,0.392740046838408,0.16463700234192,0.015807962529274,0.178571428571429,1.24857598565574,3354,3.93150872186662,Tumor_met,0.591451990632318
GSE232237,PT5,PTC,PTC,8962,0.147511716134791,0.019526891318902,0.0212006248605222,0.058022762776166,0.165030127203749,0.0111582236108012,0.577549654095068,2.68853972247177,520,3.95245339642303,Tumor_met,0.930819013613032
GSE232237,PT7,PTC,PTC,9479,0.0277455427787741,0.0972676442662728,0.189154974153392,0.336427893237683,0.173541512817808,0.0140310159299504,0.16183141681612,0.981393735259325,3189,3.97680833733807,Tumor_met,0.649541090832367
GSE232237,PT8,PTC,PTC,8209,0.0782068461444756,0.0669996345474479,0.0466561091484956,0.35314898282373,0.255816786453892,0.0102326714581557,0.188938969423803,0.852241064929476,2899,3.91434315711944,Tumor_met,0.636618345718114
GSE232237,PT9,PTC,PTC,5421,0.0302527209002029,0.106068990961077,0.124515771997786,0.121933222652647,0.271536616860358,0.0361556908319498,0.309536985795979,5.24351629881575,661,3.73415951324447,Tumor_met,0.841911086515403
