dataset,sample,rai_group,rai_group_remission,score,value
GSE151179,GSM4567912,RAI_avid,RAI_avid_remission,TDS,-0.096947472301925
GSE151179,GSM4567913,RAI_avid,RAI_avid_remission,TDS,0.131508260722695
GSE151179,GSM4567914,RAI_avid,RAI_avid_remission,TDS,-0.950466981386125
GSE151179,GSM4567915,RAI_avid,RAI_avid_remission,TDS,0.163205095695583
GSE151179,GSM4567916,RAI_refractory,RAI_refractory,TDS,-0.26353172450466
GSE151179,GSM4567917,RAI_refractory,RAI_refractory,TDS,-1.28377579246061
GSE151179,GSM4567918,RAI_refractory,RAI_refractory,TDS,-1.35650447299144
GSE151179,GSM4567919,RAI_refractory,RAI_refractory,TDS,-1.0171965555355
GSE151179,GSM4567920,RAI_refractory,RAI_refractory,TDS,0.556209493783088
GSE151179,GSM4567921,RAI_refractory,RAI_refractory,TDS,0.360230699461884
GSE151179,GSM4567922,RAI_refractory,RAI_refractory,TDS,0.158687299722946
GSE151179,GSM4567923,RAI_refractory,RAI_refractory,TDS,0.0500191281396426
GSE151179,GSM4567924,RAI_refractory,RAI_refractory,TDS,-0.137719973720858
GSE151179,GSM4567925,RAI_refractory,RAI_refractory,TDS,-0.475038487419995
GSE151179,GSM4567926,RAI_refractory,RAI_refractory,TDS,1.1127907877101
GSE151179,GSM4567927,RAI_refractory,RAI_refractory,TDS,0.295428247770869
GSE151179,GSM4567928,RAI_refractory,RAI_refractory,TDS,-0.637641308242122
GSE151179,GSM4567929,RAI_refractory,RAI_refractory,TDS,-0.0905511943387177
GSE151179,GSM4567930,RAI_refractory,RAI_refractory,TDS,0.533456097050306
GSE151179,GSM4567931,RAI_refractory,RAI_refractory,TDS,-0.474129579101417
GSE151179,GSM4567932,RAI_refractory,RAI_refractory,TDS,-0.0223436284075051
GSE151179,GSM4567933,RAI_refractory,RAI_refractory,TDS,0.349486337601769
GSE151179,GSM4567934,RAI_refractory,RAI_refractory,TDS,-1.07656120854783
GSE151179,GSM4567935,RAI_refractory,RAI_refractory,TDS,-0.0600774892317455
GSE151179,GSM4567936,RAI_refractory,RAI_refractory,TDS,-0.46417299198771
GSE151179,GSM4567937,RAI_refractory,RAI_refractory,TDS,-0.145574666284472
GSE151179,GSM4567938,RAI_refractory,RAI_refractory,TDS,0.243492428681651
GSE151179,GSM4567939,RAI_refractory,RAI_refractory,TDS,-1.92246380468911
GSE151179,GSM4567940,RAI_refractory,RAI_refractory,TDS,-0.474241726414833
GSE151179,GSM4567941,RAI_refractory,RAI_refractory,TDS,-1.53876340034756
GSE151179,GSM4567942,RAI_refractory,RAI_refractory,TDS,0.0177572259757236
GSE151179,GSM4567943,RAI_refractory,RAI_refractory,TDS,0.0568836485823163
GSE151179,GSM4567944,RAI_refractory,RAI_refractory,TDS,-0.80244828096294
