gene,cohort,rho_RAIR_like,p_RAIR_like,rho_IodineHandling,p_IodineHandling,n,p_adj_RAIR_like,p_adj_IodineHandling
MTHFD2,BRAF-mutant,0.579391263029244,5.23355819446647e-23,0.0738267878816733,0.253578778298929,241,7.85033729169971e-23,0.304294533958715
SLC1A5,BRAF-mutant,0.322539521964267,3.58874268011984e-07,0.0114270772607249,0.85981896595058,241,3.58874268011984e-07,0.85981896595058
SLC7A5,BRAF-mutant,0.440699144555055,7.14672882950727e-13,-0.157847844262856,0.0141624833396067,241,9.52897177267636e-13,0.0242785428678972
AXL,BRAF-mutant,0.581267913752095,3.52355065217034e-23,0.206249401222828,0.00128237844086978,241,6.04037254657772e-23,0.00307770825808748
FN1,BRAF-mutant,0.392320222214602,3.80733843782295e-10,-0.459637015191523,0,241,4.56880612538754e-10,0
FOSL1,BRAF-mutant,0.355903432666918,1.66585077469108e-08,-0.122950173176503,0.0566906193675571,241,1.81729175420845e-08,0.0755874924900762
ITGB1,BRAF-mutant,0.673860635780666,0,0.276584307808374,1.42814670725788e-05,241,0,4.28444012177365e-05
MTHFD1L,BRAF-mutant,0.723406261788005,0,0.0386397928740441,0.550277070665719,241,0,0.600302258908057
SHMT2,BRAF-mutant,0.506530983162443,0,0.283292754020781,8.66054315270617e-06,241,0,3.46421726108247e-05
DUSP5,BRAF-mutant,0.526634889064161,0,-0.130162717327938,0.0435715262199244,241,0,0.0653572893298866
DUSP6,BRAF-mutant,0.627524776242241,0,0.191056548129351,0.00294284754407832,241,0,0.00588569508815663
BRAF,BRAF-mutant,0.542361373066767,0,0.560694077706526,0,241,0,0
