pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_clean,neg_log10_fdr
HALLMARK_PANCREAS_BETA_CELLS,0.908859955541442,0.908859955541442,0.00585678261730665,0.246963506508026,0.658734765893986,22,DPP4;AKT3,Pancreas Beta Cells,0.0415030312127862
HALLMARK_FATTY_ACID_METABOLISM,0.80971902809719,0.826588174515882,0.00699370962996266,0.279008293169483,0.883318932122495,145,HSPH1;S100A10;YWHAH;ODC1;ACSL4;G0S2;IDH1;GPD2;LGALS1;LDHA;ACSL5;HSP90AA1;UGDH;PTPRG;RAP1GDS1;NBN;ACAA2;APEX1;UBE2L6;INMT;METAP1;BLVRA;ELOVL5;SERINC1;CBR3;HSD17B11;ALDH3A2;PRDX6;SLC22A5;ACOX1;PPARA;IL4I1;PSME1;SMS;ACAT2;DHCR24,Fatty Acid Metabolism,0.0827108121915415
HALLMARK_ADIPOGENESIS,0.574342565743426,0.598782674923997,0.0124201600751032,0.306350822347163,0.982101487886778,194,PFKFB3;IFNGR1;PLIN2;CAVIN1;CD151;APLP2;GADD45A;ATP1B3;ESYT1;C3;IDH1;ABCA1;GPD2;YWHAG;RIOK3;RAB34;SLC66A3;NABP1;LPL;STAT5A;TANK;ELOVL6;STOM;CCNG2;ITGA7;ITSN1;ACAA2;SSPN;UBQLN1;BAZ2A;ATL2;ADCY6;CAT;SOWAHC;BCL6;ANGPTL4;APOE;SNCG;PHLDB1;ACLY;RMDN3;BCL2L13;PGM1;PFKL;UCP2;MAP4K3;GPAT4;G3BP2;CHUK;RNF11;RETN;SORBS1;ACOX1;UBC;PPM1B;NMT1;ARAF,Adipogenesis,0.222730773949823
HALLMARK_BILE_ACID_METABOLISM,0.361389111289031,0.384957966373098,0.0191924507224364,0.340905386033955,1.05969441401441,97,NPC1;ISOC1;OPTN;ABCA4;IDH1;ABCA1;ACSL5;SLC27A2;CAT;NEDD4;SULT2B1;CH25H;AQP9;SLC35B2;RXRG;ABCD3;SLC29A1;PECR;LONP2;GCLM;ATXN1;PEX13;HSD17B11;PEX26;RBP1;BCAR3;SOAT2;DHCR24;PEX19;PNPLA8;ABCA2;GNPAT;SULT1B1;NR1I2;HSD3B7;NR3C2;PIPOX;SLC23A2;PEX7;LCK,Bile Acid Metabolism,0.414586688592313
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.283690813435856,0.308907774630154,0.0231147472973,0.381154354819313,1.1210983041199,47,PRNP;SBNO2;PDLIM1;MBP;CDKN2D;CAT;OXSR1;SCAF4;GCLM;JUNB;MGST1;PRDX6;GSR;SOD2;EGLN2;ABCC1;MSRA;PRDX4;LSP1;GPX4;PFKP;FES;TXN;SELENOS;GLRX,Reactive Oxygen Species Pathway,0.510171161182251
HALLMARK_XENOBIOTIC_METABOLISM,0.120987901209879,0.134736526347365,0.0388937547614518,0.35945179664769,1.14555647309322,169,PROS1;CYP2S1;FAS;SLC6A6;EPHA2;TNFRSF1A;UPP1;NPC1;PC;LPIN2;CDO1;SLC6A12;IDH1;TGFB2;BCAT1;ABCC3;UGDH;IL1R1;ESR1;CFB;CAT;ETS2;ARPP19;CASP6;AQP9;SERPINE1;APOE;SSR3;HSD11B1;HMOX1;PTGES3;ELOVL5;GCH1;PGRMC1;MAN1A1;JUP;RBP4;PMM1;SERTAD1;KARS1;MARCHF6;BCAR1;ACP2;ID2;GSR;TMEM176B;ACOX1;NMT1;DDAH2;CYFIP2;GCKR;DHRS1;XDH;HPRT1;COMT;CYP2J2;ARG2;PSMB10;PDLIM5;SPINT2;VNN1;TMBIM6;IRF8;SLC35D1;HES6;FMO3;PEMT;MTHFD1;PINK1;KYNU;PTGES;CYP26A1;FBLN1;GABARAPL1;ATP2A2;LONP1;ACP1,Xenobiotic Metabolism,0.870514653418087
HALLMARK_KRAS_SIGNALING_DN,0.023997600239976,0.0293970602939706,0.0920996025791478,0.399190598121439,1.26230942456284,140,TGM1;SPTBN2;CLDN16;RYR1;KRT15;KLK7;CCNA1;CHST2;SYNPO;SKIL;MAST3;PLAG1;CDKAL1;YPEL1;TGFB2;KRT13;PKP1;KCND1;HTR1D;CELSR2;RSAD2;BARD1;P2RY4;CD207;MFSD6;NUDT11;MTHFR;MACROH2A2;RGS11;PNMT;PRODH;EDN1;PDK2;LFNG;LYPD3;MX1;NR4A2;STAG3;C5;SLC6A14;SERPINB2;CLSTN3;SELENOP;SLC30A3;SLC29A3;FGFR3;KMT2D;CCR8;HTR1B;ASB7;IGFBP2;SHOX2;KCNMB1;KLHDC8A;CD80;NTF3;ZNF112;ENTPD7;KRT5;MEFV;BTG2;CALCB,KRAS Signaling Dn,1.53169609686471
HALLMARK_SPERMATOGENESIS,0.0432389150235212,0.0516757764915253,0.0679370144586811,0.407418448082315,1.26410614482335,94,CCNA1;SLC12A2;TSN;AGFG1;GMCL1;SHE;SIRT1;TOPBP1;BUB1;NCAPH;DBF4;RPL39L;RFC4;MAST2;IDE;MTOR;TLE4;MLLT10;EZH2;PARP2;CSNK2A2;LPIN1;IP6K1;NEK2;ZC3H14;TTK;OAZ3;CCNB2;STAM2;DMC1;MAP7;SCG5;KIF2C;BRAF;CFTR;CLGN;PGS1;STRBP;CDK1;PCSK1N;CDKN3;CHRM4;CHFR;RAD17,Spermatogenesis,1.28671298884773
HALLMARK_NOTCH_SIGNALING,0.111386650134325,0.126928973408882,0.0415155189937178,0.457369681502692,1.2786489582044,30,NOTCH2;DTX4;MAML2;FZD7;WNT5A;FBXW11;JAG1;APH1A;HEYL;CUL1;NOTCH3;LFNG;TCF7L2;DTX2;SKP1;WNT2;DLL1;DTX1;FZD5;NOTCH1;PPARD;ARRB1;RBX1,Notch Signaling,0.896439232472959
HALLMARK_APICAL_SURFACE,0.0519493774239641,0.0606076069946248,0.0623299809682921,0.46756880258608,1.34509294440302,38,LYN;PLAUR;DCBLD2;SULF2;B4GALT1;SHROOM2;ADAM10;CRYBG1;CX3CL1;GATA3;IL2RB;SRPX;APP;LYPD3;CROCC;AFAP1L2;EPHB4;EFNA5,Apical Surface,1.21747286315294
