dataset,sample,disease_group,tissue_group,n_epithelial,median_RAIR_like,median_cnv_epithelial_ref_z,fraction_cnv_epithelial_ref_high,fraction_RAIR_top_quartile_cnv_high,tumor_met_group,tissue_label
GSE184362,PTC3_T,PTC_related,Primary_tumor,217,-2.17079476062145,-0.529723483761528,0.110599078341014,0.0727272727272727,Tumor_met,Primary tumor
GSE184362,PTC3_P,Paratumor,Paratumor,55,-3.13233255642139,-0.708853774500722,0.127272727272727,0.0714285714285714,Paratumor,Paratumor
GSE184362,PTC3_RightLN,PTC_related,Lymph_node_metastasis,64,-0.325537042538557,-0.783309256565946,0.203125,0,Tumor_met,LN metastasis
GSE184362,PTC4_SC,PTC_related,Subcutaneous_metastasis,269,1.23355315468844,-0.838589655105952,0.219330855018587,0.0588235294117647,Tumor_met,SC metastasis
GSE184362,PTC5_T,PTC_related,Primary_tumor,1600,0.857243711803755,-0.368663284415935,0.035,0.0125,Tumor_met,Primary tumor
GSE184362,PTC5_P,Paratumor,Paratumor,1615,-2.50512257561612,-0.270123307651161,0.0891640866873065,0.0717821782178218,Paratumor,Paratumor
GSE184362,PTC5_RightLN,PTC_related,Lymph_node_metastasis,5435,1.29016953445379,0.154246140744334,0.00919963201471941,0.00294334069168506,Tumor_met,LN metastasis
GSE184362,PTC6_RightLN,PTC_related,Lymph_node_metastasis,2766,2.48348418473772,0.549249605534934,0.0921908893709328,0.0375722543352601,Tumor_met,LN metastasis
GSE184362,PTC7_RightLN,PTC_related,Lymph_node_metastasis,1992,-0.887589716406692,0.0574296727274297,0.101907630522088,0.0220883534136546,Tumor_met,LN metastasis
GSE184362,PTC8_T,PTC_related,Primary_tumor,5357,0.58045555029535,0.584544034298523,0.145230539481053,0.0470149253731343,Tumor_met,Primary tumor
GSE184362,PTC8_P,Paratumor,Paratumor,4923,-3.96339248744263,0.0632681374897143,0.0515945561649401,0.041429731925264,Paratumor,Paratumor
GSE184362,PTC9_T,PTC_related,Primary_tumor,4470,1.17233242461463,-0.675299891856505,0.0458612975391499,0.0232558139534884,Tumor_met,Primary tumor
GSE184362,PTC9_P,Paratumor,Paratumor,386,-3.72403224749865,0.124310922097408,0.0647668393782383,0.11340206185567,Paratumor,Paratumor
GSE184362,PTC10_T,PTC_related,Primary_tumor,8849,1.63980317587595,4.31180355377767,0.677025652616115,0.525982828739268,Tumor_met,Primary tumor
GSE184362,PTC10_RightLN,PTC_related,Lymph_node_metastasis,6050,1.93150883070075,-0.262061371472124,0.0985123966942149,0.0178453403833444,Tumor_met,LN metastasis
GSE184362,PTC11_RightLN,PTC_related,Lymph_node_metastasis,1546,2.22079022004297,-0.985029341905608,0.0685640362225097,0.0387596899224806,Tumor_met,LN metastasis
GSE184362,PTC11_SC,PTC_related,Subcutaneous_metastasis,5214,2.85992745369507,-0.33379190811247,0.0266589950134254,0.00690184049079755,Tumor_met,SC metastasis
